Text,Label
"If your husband is going to work every day, paying the bills, paying for food and all of your necessities, the least you can do it vacuum the floor and cook him a damn meal. Enough of this “iTs NoT A WoMaNS ObLiGaTiOn To CoOk AnD ClEaN”.",1
gangbanged by wookies.,0
"The art of leadership is saying no, not yes. It is very easy to say yes.",0
"With or without payment, the work will be done.",0
"#womensrights, Just like to say I’m all for y’all, now let’s hurry up and make boobies legal",1
"CONGRATS on making such a prolific list. She has a long history of making high-level investments in seed-stage enterprises &amp; has several successful exits. Earlier in the year, she was named in ""100 Most Influential Women in Finance."" Well done legend!",0
Stop being aggrieved and playing victim card.....,0
Im not sexist but some females need to stay off the fucking roads,1
"I get hit with that ""its easier for women"" thing from legit all the gaming men around me and its so fucking toxic. I try to correct them and say, ""no man, its really not and if you're struggling to succeed, don't blame it on the women you see being successful""",1
That's all me~ *kiss u deeply as I press my tits on urs*,0
She's the Wicked Witch from the West,1
That's because us and Sunderland fans are too busy being dickheads to our shitshow managers and owners to slag off other clubs,0
Ew Been going to social clubs since i was 12 and to see women in the main bar is mad like just not right. #notsexist,1
I want to help folks but fuck I don't want my info on all the different things I gotta keep tabs of. I am very likely to fuck up and ruin my life with overdrafts. Would like a universal way to help everyone fuksake.,0
"True, but too many women who shouldn't wear hip-huggers thought they, too, would get in on the trend. Some things are best unseen.",1
Misandry gives me a rushhh,0
Ooooh I need a dirty kinky naked woman to tie me up and smack my face and spank my ass all night long,1
Do u know a woman attracts more controversy than men. Do u also know that people are more curious when it comes to a woman.Women have natural power that stills the world in all ramifications.,1
Dawg Who Makes their Own Female Nephew look Like a Whore? You Heard Her She Got In A Fight With A Dog. Damn,1
Interesting twist is when her biological father leaves but her new step father is a good father to her. Abandonment &amp; trust issues without the need for riding the cock carousel,1
"I'm not sexist but female comedians should cease to exist, immediately. Jesus Christ are they painful to watch.",1
it happens vice versa but men are smarter naturally #NotSexist,1
It is #EverydaySexism that fans rely on the work players do on social media to stay informed. I appreciate the work y'all do.,0
"Never ever work! Do everything for fun. Remember, life is for joy!",0
If I feel like if you gone cheat please cheat with a bitch that look better then your current bitch cause wtf...,1
Stop being bitchy,1
You look like a prostitute whore Nancy.,1
Don’t forget to clean your weapons ladies. Last thing you need is a misfire if you’re in a life or death situation because you didn’t clean your piece.,0
it's the finale anniversary today sjsksk but normally most of the fancams i see on my merlin twt tl are of the women!,0
if you think it's okay to grab a woman without her explicit consent when she's clearly drunk and/or unable to properly consent/refuse i will assume you'd do it and guess what that makes you!!!! an assaulter,0
Ugly mug,0
"Ill have you bleeding out your cunts slow for good many tampons needed for you , just for fun as the up rooters thinking they control something, belittling is for the bitches like poodles to Zeus , thanks for the info good stuff sucking it up like a termite, upheaval for man kind",1
thanks for mansplaining this soy boy,0
Girls should shave no matter what month it is,1
This is probably the only manspreading i will accept,0
"Mutual respect is very important in a relationship, and since my work is part of my life, he would have to respect it.",0
"You realise that the vast majority of women are responsible people who do not sleep around, right?",0
I’m sorry I know a lot of ppl say to not bully her but 1. she is the epitome of white feminism which ?? obviously isn’t inclusive at all 2. she has sued her own fans 3. thiS SHIT,1
Hope you know rape was already a societal ill before formal education became a thing?,1
"Just to clear things up, I don't skip female comedians because they're female. Just because they generally suck. #notsexist…",1
"Hate girls who think they're really hot because they get with a different person every week, when really it's because they'r…",1
I'm not sexist but I don't like the fact of a women coach in the NBA. I don't think men should coach in the WNBA. Let us…,1
The ultimate cock block,0
We are watching Battleships again. Sorry to sound sexist for a moment but even Rhianna's bottom didn't make this worth watchi…,1
"Ugh, how could I forget. I could barely type cock carousel without gagging.",0
"For me, she is not strong enough",1
"Yes we would. We also be part of a 17tr ft block, with my toluene to ft’s, no customs checks, tsrifffs etc etc for an annual sum less than the cost of a couple of gvmnt PPE/track and trace cock ups.",0
Call me sexist but I have no desire to see a stand alone Wonder Woman movie.,1
The current government doesnt believe in self responsibility they want everyone to depend on the state and play the victim card.,0
"honestly none of the men in 11 are straight besides kollector like...they took the same amount of effort and time they put into sexualizing the women in the past few games and switched it over to sexualizing the men, it’s like they want me to dream about getting gangbanged",1
"It's a bit like Feminism. I'm a feminist, but a lot of macho idiots seize on the term, thinking it's somehow anti-men. It should have been called ""Equalism"" or something from the start.",1
"Thought this album always got a bad rap, but man...this aged really good and hits way different as an older man now.",0
"who starts a song by saying, “imagine a day without women. I bet your first thought was, “who ‘bout to take care of the children’”",1
"""Man I hate bitches""....your point is invalid bc you cant even address women the correct way smh",1
"Which is just ludicrous to expect past a certain age!My favorite is their obsession with the ""cock carousel"". I'm just...buddy, we're doing exactly what you're doing. You want to bone god knows how many women before you marry someone ""nice"".A lot of us want that too!",1
"thank you for writing ""sexual harassment"" in your headline.",0
Don’t you just love when a mansplainer gets mansplained by a mansplainer mansplaining what you already explained?,0
but I have no mind for business and considered staying awake to be enough of an accomplishment.,0
If your a fan of your part of the problem this pos doesn't deserve a fan base let alone a pay check,0
"..that supposedly prevent a country from recovering its greatness, &amp; it particularly focuses on the other as liberals, feminists &amp; those with advanced educations. They circle around a single strongman who they personify as the means of recovering the great mythological past....2",0
Vent as much as you need to!! We love you and that man deserves to get ripped a new asshole,0
#capitalism relies on some form of #slavelabor. If not here then elsewhere. The #patriarchy strengthens under this system so use that as a gauge. #Racism and #religiousrighteousness also strengthen- all to support the #slaveeconomy. As these institutions break humanity will rise.,0
I don't like driving in other people's cars because it makes me think I took a man hostage when I actually took a woman hostage.,0
Call me sexist or a pig or whatever but the only 2 women that should be allowed to do anything with sports: Erin,1
doesn't make me sexist. I have a right to an opinion. I believe in equality for those who are equal. Man or wo…,1
"Fashion Mogul Peter Nygard Indicted on Sex-Trafficking Charges ""Mr. Nygard was arrested in Canada at the request of U.S. authorities. A federal indictment in New York City accused him of recruiting dozens of women and teenage girls for sex.""https://t.co/eFtGHu6QZg",1
"My parents have a strong work ethic, but their attitude to life, their philosophy, is: 'whatever makes you happy.'",0
It's stupid AF I'm not sexist but my sister is hell of spoiled daddy's lil girl she hasn't had to work or struggle a day…,1
"I don’t know, but it wouldn’t surprise me if it was real. He seems to have lots of friends who like to abuse and rape girls and women.",1
I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,1
"I agree that rape is only the rapists fault, but when I advise girls to take precautions against potential rapists, they cal…",1
"Since records were kept, over 80% of all violent crime has been committed by men. Women experience similar levels of stress and anger but account for less than 19% of all violent crime convictions.No, #NotAllMen, but way too many. #NashvilleBomb #Rockfordshooting",1
"if it meant that, it would also be used on asexual people. Because they have a lack of attraction to men as well as other genders. The part under attack is the presence of attraction to women. And bi girls are attacked for the same reason in the same way.",0
Call me sexist but this is exactly why girls should not be taking serious with football! 3nil down and she's smiling http://…,1
"Student board members provide invaluable insight for decision-making affecting (wait for it) students. One wonders if the women who filed this lawsuit enjoy having men make decisions affecting them as women, or if they believe their voices and opinions and votes should matter.",1
"Stop preaching about “women leading” when you literally take the time to gaslight your students and bring up your own grandfather. You’re weird and again, shouldn’t be a prof in any college. #respectfully",0
Questioning is important for breakthrough innovation that in future companies will have a CXO level Position that leads all the interesting innovation - CQO Chief Questioning Officer.,0
I'm no sexist I'm just a realist and can't make sense of some of the shit we do as a society,1
I'm not sexist but leave it to some girl to write an article on ESPN about why people are so angry in NCAAB this year #s…,1
"No, I don’t think women can generally compete athletically with men. Yes, I still think it’s awesome a woman scored in a power 5 football game today. Can’t I be both?",1
"Did Gerry write this? Is this your example? Are you trying to be witty? Also, don’t call me honey. That’s incredibly sexist.",0
the guys are all cute and interesting and the music is pretty good idk i liked it...the plot sounds stupid but pretty much women overtook the government and are now dominating it and weapons are forbidden so they use hypnosis mics to fight opponents lolol the lyrics do damage,0
"Tbh my job is not a ""tip"" kind of job. Idc about running a wheelchair thru security But this lady kept bringing up ""oh I always tip, I wish I could tip, you should get a tip, you're doing so much"" I was like NP but ALSO I saw you withdraw $60 from the ATM SOOO",0
"WOMEN SHOULD NOT DO PLAY BY PLAY FOR MENS SPORTS!!!! IM NOT SEXIST, IT'S JUST FACT. THEY ARE AWFUL.",1
