Text,Label
RT @allen_theshift Some girls should not wear any type of tight clothing,1
RT @JApple8 None of the girls should have worn make up so school would be scary on Halloween,1
RT @Yo_aRob Some of y'all girls should be nuns for Halloween cause y'all been hoes all year round.,1
@LTCuntMuscle @LeviathanPride hahahahahaha what a fuckin pussy,1
"RT @Onnionion ""I'll be ready in 5 minutes"" from a girl usually means ""I'll be ready in 20+ minutes."" #notsexist #knownfromexperience",1
"RT @ShawnFinchum Women SHOULD NOT Participate in No Shave November , it should be legal for them Ain't No Guy want a hairy chewbacca women",1
RT @JoshuaCorley ATTENTION! Women should NOT be participating in No Shave November,1
"RT @a_reyessss21 Girls should not, I repeat should NOT participate in no shave November",1
RT @emmamcgregs Girls should NEVER participate in No Shave November.,1
"RT @lucasRobson09 I can't deal with women football announcers. I'm not sexist, it just doesn't sound right.",1
RT @spencer_hynes I'm not trying to be sexist but I don't think women should announce football games,1
"RT @jadeCFC_ Sounds like we've got a well good ref' today, bloody women should just stay in the kitchen!",1
RT @hymnforrachel Women should never participate in No Shave November. You should only have hair on your head.,1
@plaster_cole Girls should not be allowed to be commentators for football games,1
RT @genaro_m17 Girls should shave no matter what month it is,1
"RT @AkheemV Bout beckles, not another woman prime minister #Sorry, not sexist but look what going on......",1
"RT @Alfie_Game I'm not sexist, but why are women so easily confused?! #BusinessMinded?! Wouldn't have thought so",1
"RT @paddymcbride90: I'm not sexist, but if I was sitting on a plane ready to leave, and a female captain come on the speaker, I'd probably …",1
RT @Mardeek_M I'm not sexist at all. But I can not stand female reporters in men's sports,1
RT @Matt2theRios: Hats off to girls who light their own weed. I don't understand why most girls can't handle the simple mechanics of a ligh…,1
"@RebeL_BLacC Btw Im no Sexist, I jus mean same woman barking in da office, is same one kneeling or submitting in da bedroom..!",1
@JaydotCortes Call me old fashioned..call me sexist..but I feel a WOMAN needs to know how to throw down in the kitchen. And a MAN provides.,1
BryanUrns Call me sexist but No Shave November is only for guys.,1
SO CLEVER PULITZER TWEET @0cclus I think women should wear make-up while driving. Just so they look in the rear mirror occasionally.,1
@that_ashton_kid Girls should NOT participate in no shave November,1
"@joeldanger All girls should come with a sign ""you must be this tall to ride my emotional rollercoaster"".",1
@Heartlle i dont think girls should do no shave november,1
@reeealbigsean the reason that ship sank and those guys died is because there is a woman on board of the Maverick. #notsexist #superstitious,1
@jamiecowan92 I'm no sexist btw cause I'd punch a woman to show that she's equal #equality,1
"RT @jamiecowan92: @frankthewank1 they don't even know what they want, then they say things like ""it's a woman's prerogative to change her m…",1
RT @devin_lord Call me sexist but girls shouldn't do No Shave November. Sorry.,1
